playerid;participant_code;groupid;inactive;left_player;right_player;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision;survey_id_in_group;survey_role;survey_payoff;survey_gender;survey_age;survey_field_of_study;survey_university_years;survey_job_status;survey_willingness_future;survey_willingness_risk;survey_reciprocity_positive;survey_reciprocity_negative;survey_willingness_donate;survey_trust_general;survey_beauty_contest_guess;survey_time_on_page;survey_time_survey_intro;survey_time_survey_questions;survey_time_survey_scale_intro;survey_time_survey_page4;survey_time_survey_page5;survey_time_survey_page6;survey_time_survey_page7;survey_time_survey_page8;survey_time_survey_page9;survey_time_survey_page10;survey_time_final_results
4;viaxlpcy;4;;sthih2j8;bnuc6jnp;split_both;split_both;Left;share_one;4;;0.0;1;22;Economics;5;not_in_labour_force;8;6;5;3;7;5;1.9;122.07;17.81;41.31;23.88;32.34;7.98;7.64;33.57;8.61;5.34;122.07;0.0
5;b6mb3dyb;3;;cpn08rvz;4uvdbn2v;split_other;split_you;Right;share_both;5;;0.0;1;22;economics;4;not_in_labour_force;9;5;10;4;9;4;1.4;66.08;4.09;17.08;9.14;25.4;6.83;6.4;9.34;6.64;11.81;66.08;0.0
6;9r3ttt9c;2;;dbc3qlg7;n3fe0c5q;split_you;split_other;Left;share_one;6;;0.0;0;22;development economics;4;not_in_labour_force;10;8;9;2;8;0;1.8;62.85;7.61;20.75;28.89;42.6;11.38;7.54;12.65;25.43;20.68;62.85;0.0
7;uq4bno51;1;;;;;;;;7;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;4xzbaozv;1;;;;;;;;8;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;bnuc6jnp;4;;viaxlpcy;sthih2j8;split_both;split_both;Both;share_both;9;;0.0;1;22;Economy;4;not_in_labour_force;6;1;8;1;7;4;1.8;94.21;10.27;31.53;21.21;12.32;7.89;6.3;8.89;9.4;5.51;94.21;0.0
10;qv5ox1qc;1;;;;;;;;10;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;n3fe0c5q;2;;9r3ttt9c;dbc3qlg7;split_both;split_both;Both;share_both;11;;0.0;0;27;economics;5;not_in_labour_force;4;7;8;4;8;2;1.4;41.99;5.85;26.04;13.58;12.41;4.73;5.42;6.88;6.51;4.46;41.99;0.0
12;4uvdbn2v;3;;b6mb3dyb;cpn08rvz;split_you;split_other;Left;share_one;12;;0.0;0;23;economics;5;not_in_labour_force;3;4;8;4;6;2;2.0;67.28;2.54;26.23;16.64;13.96;14.03;7.82;10.24;6.62;4.98;67.28;0.0
13;dbc3qlg7;2;;n3fe0c5q;9r3ttt9c;split_other;split_other;Right;share_one;13;;0.0;1;24;economics;4;not_in_labour_force;3;3;7;5;8;5;1.8;27.15;2.15;141.33;3.48;30.19;14.51;6.44;32.74;5.98;24.12;27.15;0.0
